btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,google_trend_2,google_trend_3,wikipedia_trend_2,class_y0
99467.40708938,134.148,132.8816666667,58.3333333333,2.2897019435,4.4399251424,4.5646664688,1.6513553628,-4.8823721779,141.9,52,26,20032,0
88778.48600168,137.846,134.6733333333,58.3333333333,2.8928546861,2.5996430668,0.0024278621,-4.0888996586,-3.2954271392,137.3,52,26,17914,0
82092.41091404,138.858,136.3383333333,58.3333333333,0.8015644713,-1.595866581,-4.8561830758,-4.8430885248,-6.3907499104,128.8,27,52,17282,1
87228.93641464,138.456,138.2616666667,66.6666666667,-0.2949754464,-2.4149900339,-1.5925293192,-0.7410804092,4.908589092,135.31,27,52,14008,1
97714.39854964,137.318,139.265,66.6666666667,-0.7787237975,0.2471882976,1.4280601099,5.33746512,5.766341148,143.32,27,52,17363,0
89249.10136828,136.914,137.745,58.3333333333,-0.2867534394,0.4654149855,2.7508032842,1.6719103802,-2.4225203875,139.87,27,52,19157,0
68144.19923838,132.804,133.5533333333,50,-3.2426683245,-2.455647928,-4.9103936014,-10.248760976,-18.0750015646,116.75,27,52,19889,0
46419.06564038,128.406,128.4716666667,41.6666666667,-3.7441851714,-5.9073787372,-9.7986186989,-13.4866678547,-8.8983341447,107.02,27,52,23858,0
19555.50119428,120.966,123.3516666667,41.6666666667,-6.431264648,-9.4806660971,-11.8333813336,-8.7125712181,-8.5268082914,98.08,27,52,26564,1
35465.62927098,114.828,119.575,41.6666666667,-4.8198159249,-5.4191398092,-1.2005192241,2.6483882362,13.8235847639,112.89,17,27,24259,1
44499.57104881,110.166,115.1183333333,41.6666666667,-3.6458592253,-0.0385736404,2.914679861,8.6354239372,3.4472631105,116.9,17,27,13942,0
27248.01543441,109.358,110.59,33.3333333333,-0.7043349659,1.3441648288,4.6344892022,0.0399414214,-3.3673802678,112.67,17,27,13136,0
12306.46279931,109.996,109.465,33.3333333333,0.5885762138,2.8674223401,-0.7846318011,-2.900579257,-2.4337782462,110.92,17,27,17691,1
20568.1034418,113.012,110.5233333333,41.6666666667,2.8603854849,0.1195856652,-0.9896401499,0.199229909,2.8322380641,113.16,17,27,16650,0
13842.39501487,112.88,112.8366666667,41.6666666667,-0.1175531036,-1.0087571571,-0.2225494536,0.8830649427,-1.0661081786,111.96,17,27,16577,1
24322.53013367,113.146,113.7166666667,41.6666666667,0.2268971322,1.1254664822,2.3118813917,2.0517030555,5.1695142896,117.9,17,27,14937,0
19630.4251668,113.612,113.4616666667,33.3333333333,0.4092349144,1.1199882045,0.5492382513,1.3569114663,-2.4556913571,115.58,15,17,13705,0
16263.72213213,114.512,113.76,33.3333333333,0.801889144,0.294301914,0.7477719449,-1.4630992275,-0.4705070978,115.05,15,17,10593,1
19675.76336655,115.078,114.7583333333,41.6666666667,0.4940246812,0.8840578962,-0.5444275683,0.4112043261,1.2929157499,115.98,15,17,10080,0
7555.75552755,114.086,113.7316666667,41.6666666667,-0.9062566037,-2.425199327,-2.415035317,-3.3872994266,-8.0675146032,107,15,17,17441,1
18470.27382235,112.296,113.23,50,-1.5789549231,-1.3597708146,-1.6561920535,-3.1307459552,1.8060226929,108.96,15,17,17382,1
25986.03548492,111.958,112.4716666667,50,-0.2959903404,-0.252361151,-0.7674534513,2.8825771246,3.9591315563,113.36,15,17,17490,1
35707.39638013,112.404,112.7533333333,50,0.3857750534,0.1589898793,2.9011580401,3.4487257137,2.9383198711,117.51,15,17,18365,1
39613.62728197,112.904,113.4183333333,58.3333333333,0.4264917667,2.5499933592,2.7979835813,2.2174095938,1.4964993164,118.49,12,15,15581,0
34813.26585005,114.78,113.4833333333,58.3333333333,1.6806372953,1.6492909459,0.8793440758,-0.1501438218,-1.79678696,117.27,12,15,11962,1
39354.57573599,116.3,115.075,58.3333333333,1.3486260818,0.6959997132,-0.0514403394,-0.8254101673,0.1459666253,117.81,12,15,18265,1
43010.83045919,117.13,116.5,66.6666666667,0.7191591326,0.164368948,-0.2796745081,0.4788817178,0.8117968102,117.25,12,15,18133,1
50286.43517097,117.606,117.46,66.6666666667,0.4036772046,0.1304716766,0.7728912221,1.0863535206,1.3609102309,118.45,12,15,15029,1
60499.23063217,118.676,118.645,75,0.8832368203,1.5532427653,2.022334812,2.6276038129,3.8942973949,123.84,12,15,14442,1
73692.81266647,121.14,120.3466666667,83.3333333333,2.0124683075,2.479093728,3.0348593673,3.8718339355,3.8493704761,128.65,12,15,15271,1
78839.51786522,123.624,122.445,83.3333333333,2.0251890739,2.3285371398,2.6510794428,2.0294704667,0.2095704574,128.98,11,12,14905,1
82755.58254037,126.024,124.6033333333,91.6666666667,1.9448509511,2.0908361312,1.4896823766,0.3098383269,0.4101061963,130.27,11,12,9522,0
75341.77073471,127.452,126.0616666667,83.3333333333,1.1643326453,0.4818414579,-0.6406682149,-1.065787551,-2.5416812984,126.2,11,12,10062,0
69269.01293003,127.868,127.1966666667,75,0.3331274966,-0.5459332483,-0.7977678169,-1.4017048235,-0.2617283486,125.99,11,12,10866,1
79215.85216728,128.198,128.2816666667,75,0.2547805155,0.2660830301,0.218075308,1.5979536112,3.457635571,130.01,11,12,18578,0
69783.49603557,127.766,127.9666666667,66.6666666667,-0.3377983186,-0.5247744473,0.1475278364,0.3521559289,-2.7533237133,126.78,11,12,19680,1
75417.44453171,127.448,127.79,75,-0.2470797906,0.3265705864,0.5226702314,-0.9448124384,0.8636988364,127.76,11,12,16423,1
78823.92970507,127.952,127.6683333333,75,0.3952759826,0.5595270654,-0.4065091031,0.7668982019,0.6700975674,128.77,10,11,17103,0
63685.80069307,127.368,127.1266666667,66.6666666667,-0.4692485859,-1.4509696252,-1.0168515958,-1.9571268119,-4.5843511913,123.35,10,11,12950,1
72536.09292318,125.942,126.6766666667,66.6666666667,-1.1250352959,-0.7179631915,-1.2451838675,-2.202824585,0.1787020214,123.22,10,11,11229,0
64560.2342052,124.694,125.0466666667,58.3333333333,-1.0091881224,-1.4774098621,-2.1932456719,-0.9976929122,-2.1740878457,120.58,10,11,13116,1
69293.26115416,123.352,124.1116666667,58.3333333333,-1.0776963595,-1.5146448413,-0.4914093912,-0.8264650976,0.5211576506,120.98,10,11,10858,0
64356.28298354,121.354,122.59,50,-1.615096494,-0.8727828196,-1.2232777666,-0.7478727271,-2.0169031047,118.78,10,11,11774,0
46094.80688774,118.79,119.4916666667,41.6666666667,-2.2013792666,-2.7963995885,-3.0038368362,-4.7663340795,-7.5157650543,110.17,10,11,11790,0
41039.79977377,115.968,117.1766666667,41.6666666667,-2.4322965584,-2.4968487366,-3.5028508656,-4.245824746,-0.9758844378,109.11,10,10,11206,0
10305.30088797,111.888,113.335,41.6666666667,-3.7072350901,-4.7643332753,-5.6801433321,-4.762332471,-8.5487805043,100.17,10,10,9055,1
23841.85929547,108.492,110.61,41.6666666667,-3.0187604831,-3.2692248277,-1.8537114188,-2.2926249093,3.9635306857,104.21,10,10,10523,1
29076.21263584,106.208,108.3033333333,50,-2.0217073873,-0.6481929705,-0.5389624815,3.46594653,2.9683623742,107.35,10,10,17562,0
21463.59208329,105.484,106.2666666667,41.6666666667,-0.668143705,-0.5912085219,2.0613154723,1.1102078656,-0.7479466431,106.1,10,10,20661,0
13416.31158228,104.062,104.9033333333,33.3333333333,-1.3476746877,0.4526017665,-0.7177078732,-2.560742997,-4.3735393508,101.86,10,10,15565,0
2717.89957538,103.83,103.22,33.3333333333,-0.2329577498,-1.2820798587,-2.6988939363,-3.6743675829,-2.975195815,99.01,10,10,11040,1
6961.30729343,102.87,103.095,33.3333333333,-0.9430149763,-1.9208593139,-2.3118302042,-1.2809756309,0.4132445532,99.43,8,10,10284,0
3871.57266552,101.272,102.2866666667,33.3333333333,-1.5467483196,-1.7464487387,-0.870751868,0.1814701054,-0.0503043423,98.74,8,10,7037,1
8657.33868579,99.96,101.06,33.3333333333,-1.2707604161,-0.4950656824,0.3316443618,0.2908442661,0.6319928745,100.39,8,10,7029,1
19532.08198269,100.46,100.7166666667,41.6666666667,0.4842851624,1.3491554068,1.6611256913,2.5168407081,4.4016885417,104.49,8,10,8737,1
25015.61771524,101.706,101.2566666667,50,1.2204520208,1.4222538876,1.913106631,2.5536635092,0.7056384767,105.24,8,10,10414,0
15927.09223957,102.344,101.8566666667,50,0.6316418642,0.8021284158,0.8588402629,-0.9125838765,-2.5308062298,103,8,10,9736,0
3595.42923857,102.83,102.2533333333,50,0.4831969375,0.4459979532,-0.8725655763,-1.6616676028,-0.7925289758,101.29,8,10,9809,0
245.10366726,102.83,102.3583333333,41.6666666667,0,-1.1004221354,-1.7024423395,-1.2882603943,-1.7839918128,100,8,8,9359,1
2222.49637345,102.012,102.4266666667,41.6666666667,-0.7985053503,-1.174541307,-0.7224529994,-0.6874150113,0.4091617903,100.4,8,8,7109,0
-7480.19201704,100.858,101.5883333333,41.6666666667,-1.1277473002,-0.7769825677,-0.7718004317,-0.2657047412,-0.9405712727,98.83,8,8,7472,0
-12774.24381318,99.91,100.36,41.6666666667,-0.9459065287,-0.984250917,-0.7176706183,-1.2810868227,-1.6216023727,97.57,8,8,11213,1
-7833.83603424,99.304,99.72,50,-0.6043237839,-0.3094067767,-0.5489296324,-0.3531088122,0.9153847482,98.75,8,8,10908,0
-12771.25278866,98.566,98.805,41.6666666667,-0.7519606083,-1.042241208,-1.0761311864,-0.8033955932,-2.5221759347,96.98,8,8,9066,0
-31328.78179206,96.476,97.1316666667,41.6666666667,-2.197933536,-2.5122741018,-2.8091646782,-4.6714393914,-6.8207028482,89.2,8,8,9960,0
-35702.40619461,94.378,95.2266666667,33.3333333333,-2.2288893157,-2.3807110515,-3.4794096514,-3.9580265097,-1.0953501713,88.83,7,8,9261,1
-33311.73178173,92.71,93.57,33.3333333333,-1.7813260558,-2.4555037568,-2.4332796976,-0.2395681223,0.6162139268,89.41,7,8,6761,0
-54166.20047373,89.856,91.3416666667,25,-3.1208476111,-3.2705155302,-2.0871197576,-2.5830045507,-5.7822230283,83.41,7,8,8933,1
-41499.80898633,88.194,89.5466666667,33.3333333333,-1.8047068219,-0.5507078153,-0.3691603633,-0.8618475084,4.0585280115,88.04,7,8,10896,0
-62240.69451153,85.604,86.33,33.3333333333,-3.1085968708,-3.6119085457,-5.0212827032,-4.6408125406,-13.3401530927,77.33,7,8,33033,1
-40283.26236773,83.688,84.57,41.6666666667,-2.2782651425,-3.0018849098,-2.075105537,-5.1419223113,3.0563084702,79.4,7,8,20780,0
-73218.6282968301,79.168,80.895,33.3333333333,-5.8185293507,-5.8276059313,-9.1229839122,-7.0143993219,-17.0851071141,67.13,7,8,11057,0
-90464.5865786301,75.536,77.03,33.3333333333,-4.8391700169,-7.063594524,-4.9714083344,-8.9852667367,-0.8854263594,66.34,7,7,9726,1
-83606.0642601401,72.728,75.2733333333,41.6666666667,-3.4762481592,-1.0102719258,-2.3657987245,4.9938554703,10.8731373,73.97,7,7,6977,1
-64936.4862602401,72.206,73.0066666667,41.6666666667,-0.6895868342,-1.6260606604,3.5269548242,5.733145416,0.593153532,74,7,7,7497,1
-49027.4863540401,71.328,72.6733333333,50,-1.1375386054,2.8493535217,4.0942801488,0.7048515731,0.8165496142,75,7,7,9578,1
-21752.3022241401,75.18,73.805,58.3333333333,5.0581372909,6.5440282035,5.100991838,7.354910991,13.8932723678,86.13,7,7,9477,1
-4441.2452411401,79.338,77.1716666667,66.6666666667,5.4521644545,4.0969212431,5.2648438135,7.4889909131,1.0847094584,87.81,7,7,9444,1
27619.5846116599,82.58,81.1433333333,66.6666666667,3.9634474199,4.8060208918,6.135844651,2.2571307926,3.4295521269,90.19,7,7,8869,1
33624.1404169399,86.034,84.095,75,4.1747846027,5.0143433498,2.0547003438,2.5396957865,1.6498394462,91.67,10,7,7522,0
28421.1987951799,89.038,86.7,66.6666666667,3.6504302028,1.0897196615,1.0913897292,-0.0776914696,-1.8052223853,90.02,10,7,5258,1
41451.8598151799,90.556,89.8283333333,75,1.68794904,1.8387589355,1.3084945383,1.1378220844,4.0808665541,93.76,10,7,6035,0
32166.3862656299,91.44,90.7216666667,66.6666666667,0.9896802975,0.3797123402,-0.0436633618,0.83711615,-2.4066342541,91.61,10,7,6925,0
24761.5198064599,91.6,91.3616666667,66.6666666667,0.1766600864,-0.1916347535,0.3462277905,-1.5210915914,-0.6355489287,90.96,10,7,7689,0
3314.8537380599,90.322,90.5466666667,66.6666666667,-1.4451042311,-1.3550746926,-3.1670551081,-3.5472655351,-6.4589821416,85,10,7,7825,1
12004.8144900599,89.618,89.6866666667,66.6666666667,-0.7976586786,-2.0172899867,-1.8875085643,-2.5134883821,1.4320053775,86.51,10,7,7947,0
7553.3396221599,87.87,88.855,58.3333333333,-1.9565975926,-1.8440884272,-2.2469349267,-0.1409113192,-1.7138280159,85.02,7,10,8401,1
10461.2018335099,86.746,87.5466666667,58.3333333333,-1.2670451959,-1.4249192627,0.2531016969,-0.3363501434,1.0411277291,85.73,7,10,5150,0
2167.1836652999,85.672,86.555,50,-1.2168899737,0.0936330683,-0.3524910348,0.3281774557,-0.3847728177,85.59,7,10,5614,1
15205.6849732999,86.012,85.89,50,0.394764935,0.1354548244,0.7518824379,0.6072597922,1.5992924022,86.88,7,10,10445,1
24482.1060741999,86.394,86.4133333333,50,0.4367634841,0.9744113591,0.9521725691,1.6206452625,1.6419981229,88.42,7,10,0,1
34898.9861709999,87.418,87.0216666667,50,1.169282714,1.2013214602,1.7300195528,1.7953831281,1.9487681333,90.1,7,10,4642,0
28398.4017670399,88.222,87.84,50,0.9144189814,1.2392169312,1.1191917742,0.8577885999,-0.2331909335,89.97,7,10,8795,0
24909.2477973999,88.734,88.2116666667,41.6666666667,0.5893612451,0.3368784559,-0.0981614331,-1.1216262163,-2.0100614992,88.16,6,7,8442,1
32203.6007589099,89.88,89.3966666667,50,1.275962689,1.1844538305,0.9296823962,1.5111190611,5.0322996214,92.72,6,7,5862,1
42454.4413593099,90.874,90.465,58.3333333333,1.0937216945,0.8799600848,1.2510104242,2.8815463859,0.7307931503,93.45,6,7,5907,1
54149.8089274099,92.156,91.8233333333,66.6666666667,1.3736452849,1.7753543396,3.0371596191,2.039589618,3.3483860857,96.98,6,7,7258,1
71175.1933015099,93.822,93.1766666667,66.6666666667,1.7713317451,2.7166800562,1.9448068678,2.5518137266,1.7552413674,97.77,6,7,10498,0
63343.0327968399,95.514,94.2883333333,66.6666666667,1.8326482744,1.0327354377,1.1333828668,0.0258812574,-1.7034788527,96.63,6,7,8700,0
47789.9598272399,96.142,95.57,58.3333333333,0.6661625575,0.6500049093,-0.2494554829,-1.2518039081,-0.8001289635,95.82,6,7,6973,0
43290.0130972699,96.574,96.0433333333,58.3333333333,0.4573079513,-0.2654615823,-0.9390292322,-0.556804422,-0.3134798805,95.54,6,6,6321,1
46309.6843962799,96.536,96.5416666667,58.3333333333,-0.0393884553,-0.488045911,-0.0829015971,0.275712086,0.8649040526,96.38,6,6,5310,1
57313.0979291799,96.442,96.7483333333,58.3333333333,-0.095874527,0.3060265544,0.6747450604,1.1688575308,1.472811009,97.88,6,6,5322,0
48064.4858340099,96.656,96.65,50,0.2202688108,0.4753682543,0.7383176326,0.6750244226,-0.1227621638,97.7,6,6,8729,0
40936.6302823699,96.904,96.7283333333,50,0.2570782778,0.3997178174,0.244655739,-0.369421896,-0.6160816283,97.09,6,6,6994,0
26919.5976246699,96.648,96.465,50,-0.2697333056,-0.5533926451,-1.2287938631,-1.7818097128,-2.9475377974,94.26,6,6,7421,0
14608.3545980699,95.826,95.9183333333,41.6666666667,-0.8715929924,-1.4576939928,-1.9026712691,-2.5459660896,-2.1443943818,92.72,6,6,11422,1
17723.8096575299,94.966,95.44,41.6666666667,-0.8991687771,-1.0932704304,-1.2523333645,-0.404731148,1.3349320857,93.51,7,6,8161,1
19587.3622209999,94.246,94.82,41.6666666667,-0.7509485729,-0.7846653091,-0.063707813,0.9766354714,0.6183388571,94,7,6,5136,1
26791.0958726999,93.898,94.43,41.6666666667,-0.3616810267,0.284783166,1.0945090152,0.97429748,1.3302561028,95.37,7,6,6069,1
39631.3809100999,94.674,94.6066666667,50,0.8066783063,1.5444464783,1.6142846092,2.1122574852,2.8942588676,97.75,7,6,10290,1
57629.0995297999,96.058,95.4266666667,58.3333333333,1.4463628233,1.4742205078,1.7595143913,1.9741435356,1.0540282035,99.19,7,6,11157,0
48095.7753794299,96.972,96.395,58.3333333333,0.9543017948,1.0382925292,0.940971338,-0.0356724267,-1.125373057,98.09,7,6,15454,1
57401.8884617599,97.804,97.185,58.3333333333,0.8652695946,0.7490229676,0.0339443342,-0.4760976004,0.1731778561,98.26,7,6,13482,1
62935.4543024399,98.676,98.1216666667,58.3333333333,0.8942328159,0.394226303,0.1742923361,0.8241250326,1.4750722091,99.71,7,7,11230,0
60177.8468108599,98.906,98.78,58.3333333333,0.2329730066,0.0277092073,0.4120699621,0.5315160151,-0.412040179,99.32,7,7,7780,1
80401.3553351599,99.638,99.5633333333,66.6666666667,0.7246882668,1.1872035978,1.5252121783,1.5502821629,3.5126045048,102.85,7,7,6747,1
91913.9100686599,100.996,100.51,75,1.3387603132,1.6301559274,1.6818505002,2.7287958398,1.9449871747,104.87,7,7,10826,1
115839.62814766,103.432,102.5683333333,83.3333333333,2.3373317062,2.5528965805,3.5412088336,3.555510998,5.1660348213,111.52,7,7,11569,0
103607.69643096,105.314,104.38,75,1.8036444251,2.3575655761,1.9725525999,1.9863353124,-1.1933641964,109.12,7,7,11741,0
94138.0201342999,106.984,105.7033333333,66.6666666667,1.6147930552,1.1403401928,0.8721245321,-1.2748306124,-1.3562970285,107.91,7,7,10214,1
98470.7071142099,108.244,107.345,66.6666666667,1.1890293379,1.0000398787,-0.3886251021,0.013744445,1.3837859186,109.15,8,7,8863,1
107813.86984829,109.894,109.0566666667,66.6666666667,1.514554286,0.6016841522,1.2000336018,2.4781989169,3.5726119152,113.12,8,7,6216,0
96971.0664240899,110.188,110.2283333333,58.3333333333,0.2644755852,0.6289355306,1.2906797169,1.2441266161,-1.084358683,111.85,8,7,5688,1
115895.80603629,111.914,111.4483333333,66.6666666667,1.522310776,2.2419627272,2.5280216634,2.0057265374,5.0958117579,117.74,8,7,7351,1
126091.53723069,113.966,112.9133333333,66.6666666667,1.8207279556,1.9299634648,1.3824139813,2.6158003135,0.1357888692,117.91,8,7,9386,1
135880.87608426,115.836,114.7216666667,66.6666666667,1.6437975516,1.1615939607,1.9102448419,0.3174613839,0.4991338987,118.91,8,7,9560,1
153255.23407536,118.184,117.34,75,1.9748781497,2.7396873579,1.9543125579,2.8635744023,5.2280149058,124.86,8,7,8280,1
173236.57771766,121.404,119.82,75,2.688492972,2.0866632756,2.7369547444,3.8558651672,2.4837154286,127.9,8,8,7050,1
181258.14095349,123.986,122.9466666667,75,2.0806959303,2.5669226956,3.2561856279,2.270270989,2.0568265493,130.65,8,8,5259,0
172318.74115025,126.434,125.0133333333,66.6666666667,1.975320197,2.3443667716,1.3831507269,0.832868376,-0.3910897972,129.4,8,8,5153,0
160324.16453055,128.57,126.8916666667,66.6666666667,1.7258764006,0.8503417743,0.3058838895,-0.5695874404,-0.7480850836,129.2,8,8,5971,0
141503.11440215,128.16,127.61,66.6666666667,-0.3310932802,-1.0347954574,-2.0653361263,-2.9024592909,-5.0568334982,121.65,8,8,6740,0
122266.28210625,127.06,127.2166666667,58.3333333333,-0.8783846787,-1.6121874857,-2.0192200485,-2.654787531,-0.2527415638,122,8,8,6438,0
102875.07385155,124.462,125.495,50,-2.0942886587,-2.5200883741,-3.1107561376,-2.1377174573,-4.0226933509,116.56,8,8,6929,1
112552.07134915,122.418,123.7066666667,58.3333333333,-1.6355878439,-1.857463534,-0.7910068793,-1.0601395371,1.9024142768,119.91,7,8,6808,0
107093.38545819,120.25,121.7383333333,50,-1.7528988671,-0.9269152093,-1.1516397579,0.2838870386,-1.3346401995,118.37,7,8,4828,1
128439.11179479,120.024,120.4883333333,50,-0.1848759534,-0.1679095508,1.1170183825,0.7243204354,2.7832810702,121.68,7,8,7756,1
139759.00154289,119.938,120.365,50,-0.0703275861,0.9177638551,0.5895470479,1.5516406717,0.3200002731,122.08,7,8,11338,1
158309.21540329,121.914,121.2066666667,50,1.6124869622,1.5400051336,2.4982202446,2.3556898318,4.3913793906,127.54,7,8,8085,0
144453.00477019,123.204,122.6583333333,41.6666666667,1.047700042,1.6432851024,1.2632864465,1.7349295332,-0.9215203243,126.38,7,8,6795,1
153762.95396639,125.078,123.955,41.6666666667,1.5240046252,1.2091855139,1.5055805942,0.062681196,1.0468827163,127.71,7,8,6285,0
145051.09013075,125.64,124.98,41.6666666667,0.4566148689,0.4907685178,-0.8094351065,-0.7533924976,-2.5536677114,124.49,6,7,5727,1
150411.97256055,126.298,125.5933333333,50,0.5318989473,-0.4329711635,-0.2701214433,-0.928623523,0.6964206654,125.36,6,7,4371,1
158014.32041254,126.042,126.2933333333,58.3333333333,-0.2017194627,-0.0217692474,-0.3779865686,0.7098540028,0.7232873403,126.28,6,7,4771,1
166866.93398436,126.15,126.1883333333,66.6666666667,0.0852745074,-0.1551275448,0.644385844,0.6183684334,0.5134495264,126.92,6,7,7419,1
180362.64503796,126.008,126.2916666667,75,-0.111499641,0.4990423766,0.4332496137,0.2882307504,0.0630119744,127,6,7,7549,0
170126.39689946,125.946,125.7033333333,66.6666666667,-0.0498653091,-0.2364368028,-0.5563448505,-1.0912420389,-2.2454960522,124.17,6,7,6651,0
159621.31680636,125.456,125.44,66.6666666667,-0.3947443564,-0.6742522806,-1.0701528829,-1.6367353116,-1.027974571,122.92,6,7,5973,1
163775.5088299,124.88,125.1116666667,66.6666666667,-0.4614480108,-0.7051723951,-0.9612338516,-0.3191027513,0.3897690684,123.38,6,6,8648,0
160893.41752757,124.15,124.6116666667,58.3333333333,-0.583597903,-0.7452503724,-0.2451684791,0.1462345668,-0.0972999347,123.27,6,6,5655,0
153156.48356977,123.276,123.8966666667,50,-0.7003078937,-0.3140108541,-0.0760229484,-0.3089189568,-0.5205379789,122.81,6,6,5497,1
163339.65070997,123.212,123.3733333333,58.3333333333,-0.0516046085,0.1924878821,0.1267274866,0.2387411973,0.9980203736,123.75,6,6,7992,0
155286.46630905,123.28,123.2183333333,50,0.0552486539,-0.0283814497,-0.0054086214,0.2521560574,-0.4937082587,123.32,6,6,6695,1
163071.30951832,123.57,123.54,58.3333333333,0.2336569298,0.316396146,0.5953741876,0.3940510946,1.281810448,124.85,6,6,6212,1
175188.63293432,124.306,124.1333333333,58.3333333333,0.5883247317,0.8655404094,0.8213804214,1.4789247614,1.6760390748,126.95,6,6,7292,0
168868.37457,125.088,124.6783333333,50,0.6277354389,0.5351642052,0.8781216932,0.6762773158,-0.3234844432,126.5,6,6,5907,1
175613.76907444,125.718,125.4083333333,50,0.5022785601,0.7512752648,0.5744302038,0.0236257683,0.3707359797,127,6,6,4707,0
164083.24435564,126.318,125.8066666667,41.6666666667,0.4809851047,0.2807787688,-0.1843079998,-0.1147197782,-0.6001755361,126.25,6,6,5406,1
171597.07931644,126.816,126.4866666667,50,0.3949844837,0.0747208359,0.2074559289,0.1258159035,0.851807343,127.31,6,6,6682,0
110957.69032944,122.196,122.9883333333,50,-4.0169151566,-4.9402728349,-6.7106091065,-9.7658258917,-20.3834591263,103.85,6,6,6454,1
137070.45420054,120.414,121.435,50,-1.4602871749,-1.9180429636,-2.3573321061,-3.9619018306,12.459655465,117.62,6,6,20338,1
150265.03015484,119.4,120.6683333333,58.3333333333,-0.8147340607,-0.8683736919,-1.4417673702,8.0290785079,3.5985015507,121.94,6,6,49212,0
147322.39414353,118.39,119.7,58.3333333333,-0.8164398904,-1.2335016988,5.1498174438,1.4948984331,-0.6087046844,121.25,6,6,26432,1
151248.73546243,117.422,119.0733333333,58.3333333333,-0.7750549517,4.1270460919,1.3495096342,0.225013676,1.0587320364,122.49,6,6,15888,1
