btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,sp500_close_30,class_y0
-35702.40619461,94.378,95.2266666667,33.3333333333,-2.2288893157,-2.3807110515,-3.4794096514,-3.9580265097,-1.0953501713,88.83,1610.9207956989,1
-33311.73178173,92.71,93.57,33.3333333333,-1.7813260558,-2.4555037568,-2.4332796976,-0.2395681223,0.6162139268,89.41,1609.693827957,0
-54166.20047373,89.856,91.3416666667,25,-3.1208476111,-3.2705155302,-2.0871197576,-2.5830045507,-5.7822230283,83.41,1609.0147096774,1
-41499.80898633,88.194,89.5466666667,33.3333333333,-1.8047068219,-0.5507078153,-0.3691603633,-0.8618475084,4.0585280115,88.04,1608.4156989247,0
-62240.69451153,85.604,86.33,33.3333333333,-3.1085968708,-3.6119085457,-5.0212827032,-4.6408125406,-13.3401530927,77.33,1607.9763655914,1
-40283.26236773,83.688,84.57,41.6666666667,-2.2782651425,-3.0018849098,-2.075105537,-5.1419223113,3.0563084702,79.4,1608.4633763441,0
-73218.6282968301,79.168,80.895,33.3333333333,-5.8185293507,-5.8276059313,-9.1229839122,-7.0143993219,-17.0851071141,67.13,1609.2789892473,0
-90464.5865786301,75.536,77.03,33.3333333333,-4.8391700169,-7.063594524,-4.9714083344,-8.9852667367,-0.8854263594,66.34,1610.0532043011,1
-83606.0642601401,72.728,75.2733333333,41.6666666667,-3.4762481592,-1.0102719258,-2.3657987245,4.9938554703,10.8731373,73.97,1610.8177419355,1
-64936.4862602401,72.206,73.0066666667,41.6666666667,-0.6895868342,-1.6260606604,3.5269548242,5.733145416,0.593153532,74,1612.1387311828,1
-49027.4863540401,71.328,72.6733333333,50,-1.1375386054,2.8493535217,4.0942801488,0.7048515731,0.8165496142,75,1614.1113333333,1
-21752.3022241401,75.18,73.805,58.3333333333,5.0581372909,6.5440282035,5.100991838,7.354910991,13.8932723678,86.13,1616.2624301075,1
-4441.2452411401,79.338,77.1716666667,66.6666666667,5.4521644545,4.0969212431,5.2648438135,7.4889909131,1.0847094584,87.81,1619.7866451613,1
27619.5846116599,82.58,81.1433333333,66.6666666667,3.9634474199,4.8060208918,6.135844651,2.2571307926,3.4295521269,90.19,1623.234516129,1
33624.1404169399,86.034,84.095,75,4.1747846027,5.0143433498,2.0547003438,2.5396957865,1.6498394462,91.67,1626.5528172043,0
28421.1987951799,89.038,86.7,66.6666666667,3.6504302028,1.0897196615,1.0913897292,-0.0776914696,-1.8052223853,90.02,1629.7990752688,1
41451.8598151799,90.556,89.8283333333,75,1.68794904,1.8387589355,1.3084945383,1.1378220844,4.0808665541,93.76,1633.4141505376,0
32166.3862656299,91.44,90.7216666667,66.6666666667,0.9896802975,0.3797123402,-0.0436633618,0.83711615,-2.4066342541,91.61,1636.511483871,0
24761.5198064599,91.6,91.3616666667,66.6666666667,0.1766600864,-0.1916347535,0.3462277905,-1.5210915914,-0.6355489287,90.96,1639.7819354839,0
3314.8537380599,90.322,90.5466666667,66.6666666667,-1.4451042311,-1.3550746926,-3.1670551081,-3.5472655351,-6.4589821416,85,1643.2980860215,1
12004.8144900599,89.618,89.6866666667,66.6666666667,-0.7976586786,-2.0172899867,-1.8875085643,-2.5134883821,1.4320053775,86.51,1647.3314408602,0
7553.3396221599,87.87,88.855,58.3333333333,-1.9565975926,-1.8440884272,-2.2469349267,-0.1409113192,-1.7138280159,85.02,1651.2357634409,1
10461.2018335099,86.746,87.5466666667,58.3333333333,-1.2670451959,-1.4249192627,0.2531016969,-0.3363501434,1.0411277291,85.73,1654.9271827957,0
2167.1836652999,85.672,86.555,50,-1.2168899737,0.0936330683,-0.3524910348,0.3281774557,-0.3847728177,85.59,1658.4743655914,1
15205.6849732999,86.012,85.89,50,0.394764935,0.1354548244,0.7518824379,0.6072597922,1.5992924022,86.88,1661.6982795699,1
24482.1060741999,86.394,86.4133333333,50,0.4367634841,0.9744113591,0.9521725691,1.6206452625,1.6419981229,88.42,1664.4419354839,1
34898.9861709999,87.418,87.0216666667,50,1.169282714,1.2013214602,1.7300195528,1.7953831281,1.9487681333,90.1,1666.9490322581,0
28398.4017670399,88.222,87.84,50,0.9144189814,1.2392169312,1.1191917742,0.8577885999,-0.2331909335,89.97,1669.3969892473,0
24909.2477973999,88.734,88.2116666667,41.6666666667,0.5893612451,0.3368784559,-0.0981614331,-1.1216262163,-2.0100614992,88.16,1671.6492473118,1
32203.6007589099,89.88,89.3966666667,50,1.275962689,1.1844538305,0.9296823962,1.5111190611,5.0322996214,92.72,1673.7294623656,1
42454.4413593099,90.874,90.465,58.3333333333,1.0937216945,0.8799600848,1.2510104242,2.8815463859,0.7307931503,93.45,1675.3639784946,1
54149.8089274099,92.156,91.8233333333,66.6666666667,1.3736452849,1.7753543396,3.0371596191,2.039589618,3.3483860857,96.98,1676.9646236559,1
71175.1933015099,93.822,93.1766666667,66.6666666667,1.7713317451,2.7166800562,1.9448068678,2.5518137266,1.7552413674,97.77,1678.1072043011,0
63343.0327968399,95.514,94.2883333333,66.6666666667,1.8326482744,1.0327354377,1.1333828668,0.0258812574,-1.7034788527,96.63,1680.3653763441,0
47789.9598272399,96.142,95.57,58.3333333333,0.6661625575,0.6500049093,-0.2494554829,-1.2518039081,-0.8001289635,95.82,1682.665483871,0
43290.0130972699,96.574,96.0433333333,58.3333333333,0.4573079513,-0.2654615823,-0.9390292322,-0.556804422,-0.3134798805,95.54,1684.7612903226,1
46309.6843962799,96.536,96.5416666667,58.3333333333,-0.0393884553,-0.488045911,-0.0829015971,0.275712086,0.8649040526,96.38,1686.6817204301,1
57313.0979291799,96.442,96.7483333333,58.3333333333,-0.095874527,0.3060265544,0.6747450604,1.1688575308,1.472811009,97.88,1688.3403225807,0
48064.4858340099,96.656,96.65,50,0.2202688108,0.4753682543,0.7383176326,0.6750244226,-0.1227621638,97.7,1689.2887096774,0
40936.6302823699,96.904,96.7283333333,50,0.2570782778,0.3997178174,0.244655739,-0.369421896,-0.6160816283,97.09,1689.7225806452,0
26919.5976246699,96.648,96.465,50,-0.2697333056,-0.5533926451,-1.2287938631,-1.7818097128,-2.9475377974,94.26,1690.3978494624,0
14608.3545980699,95.826,95.9183333333,41.6666666667,-0.8715929924,-1.4576939928,-1.9026712691,-2.5459660896,-2.1443943818,92.72,1690.485483871,1
17723.8096575299,94.966,95.44,41.6666666667,-0.8991687771,-1.0932704304,-1.2523333645,-0.404731148,1.3349320857,93.51,1690.4919354839,1
19587.3622209999,94.246,94.82,41.6666666667,-0.7509485729,-0.7846653091,-0.063707813,0.9766354714,0.6183388571,94,1690.4634408602,1
26791.0958726999,93.898,94.43,41.6666666667,-0.3616810267,0.284783166,1.0945090152,0.97429748,1.3302561028,95.37,1690.4489247312,1
39631.3809100999,94.674,94.6066666667,50,0.8066783063,1.5444464783,1.6142846092,2.1122574852,2.8942588676,97.75,1690.6403225807,1
57629.0995297999,96.058,95.4266666667,58.3333333333,1.4463628233,1.4742205078,1.7595143913,1.9741435356,1.0540282035,99.19,1690.2231182796,0
48095.7753794299,96.972,96.395,58.3333333333,0.9543017948,1.0382925292,0.940971338,-0.0356724267,-1.125373057,98.09,1688.1026881721,1
57401.8884617599,97.804,97.185,58.3333333333,0.8652695946,0.7490229676,0.0339443342,-0.4760976004,0.1731778561,98.26,1685.709139785,1
62935.4543024399,98.676,98.1216666667,58.3333333333,0.8942328159,0.394226303,0.1742923361,0.8241250326,1.4750722091,99.71,1683.3682795699,0
60177.8468108599,98.906,98.78,58.3333333333,0.2329730066,0.0277092073,0.4120699621,0.5315160151,-0.412040179,99.32,1681.0908602151,1
80401.3553351599,99.638,99.5633333333,66.6666666667,0.7246882668,1.1872035978,1.5252121783,1.5502821629,3.5126045048,102.85,1678.509139785,1
91913.9100686599,100.996,100.51,75,1.3387603132,1.6301559274,1.6818505002,2.7287958398,1.9449871747,104.87,1676.3779569893,1
115839.62814766,103.432,102.5683333333,83.3333333333,2.3373317062,2.5528965805,3.5412088336,3.555510998,5.1660348213,111.52,1673.4274193548,0
103607.69643096,105.314,104.38,75,1.8036444251,2.3575655761,1.9725525999,1.9863353124,-1.1933641964,109.12,1671.7698924731,0
94138.0201342999,106.984,105.7033333333,66.6666666667,1.6147930552,1.1403401928,0.8721245321,-1.2748306124,-1.3562970285,107.91,1670.6198924731,1
98470.7071142099,108.244,107.345,66.6666666667,1.1890293379,1.0000398787,-0.3886251021,0.013744445,1.3837859186,109.15,1669.5177419355,1
107813.86984829,109.894,109.0566666667,66.6666666667,1.514554286,0.6016841522,1.2000336018,2.4781989169,3.5726119152,113.12,1668.4639784946,0
96971.0664240899,110.188,110.2283333333,58.3333333333,0.2644755852,0.6289355306,1.2906797169,1.2441266161,-1.084358683,111.85,1666.9962365591,1
115895.80603629,111.914,111.4483333333,66.6666666667,1.522310776,2.2419627272,2.5280216634,2.0057265374,5.0958117579,117.74,1663.9204301075,1
126091.53723069,113.966,112.9133333333,66.6666666667,1.8207279556,1.9299634648,1.3824139813,2.6158003135,0.1357888692,117.91,1661.2279569893,1
135880.87608426,115.836,114.7216666667,66.6666666667,1.6437975516,1.1615939607,1.9102448419,0.3174613839,0.4991338987,118.91,1658.9338709678,1
153255.23407536,118.184,117.34,75,1.9748781497,2.7396873579,1.9543125579,2.8635744023,5.2280149058,124.86,1656.388172043,1
173236.57771766,121.404,119.82,75,2.688492972,2.0866632756,2.7369547444,3.8558651672,2.4837154286,127.9,1653.9483870968,1
181258.14095349,123.986,122.9466666667,75,2.0806959303,2.5669226956,3.2561856279,2.270270989,2.0568265493,130.65,1651.6569892473,0
172318.74115025,126.434,125.0133333333,66.6666666667,1.975320197,2.3443667716,1.3831507269,0.832868376,-0.3910897972,129.4,1650.4446236559,0
160324.16453055,128.57,126.8916666667,66.6666666667,1.7258764006,0.8503417743,0.3058838895,-0.5695874404,-0.7480850836,129.2,1648.9353763441,0
141503.11440215,128.16,127.61,66.6666666667,-0.3310932802,-1.0347954574,-2.0653361263,-2.9024592909,-5.0568334982,121.65,1648.5013978495,0
122266.28210625,127.06,127.2166666667,58.3333333333,-0.8783846787,-1.6121874857,-2.0192200485,-2.654787531,-0.2527415638,122,1648.1405376344,0
102875.07385155,124.462,125.495,50,-2.0942886587,-2.5200883741,-3.1107561376,-2.1377174573,-4.0226933509,116.56,1647.9001075269,1
112552.07134915,122.418,123.7066666667,58.3333333333,-1.6355878439,-1.857463534,-0.7910068793,-1.0601395371,1.9024142768,119.91,1647.7344086022,0
107093.38545819,120.25,121.7383333333,50,-1.7528988671,-0.9269152093,-1.1516397579,0.2838870386,-1.3346401995,118.37,1647.6552688172,1
128439.11179479,120.024,120.4883333333,50,-0.1848759534,-0.1679095508,1.1170183825,0.7243204354,2.7832810702,121.68,1648.6465591398,1
139759.00154289,119.938,120.365,50,-0.0703275861,0.9177638551,0.5895470479,1.5516406717,0.3200002731,122.08,1650.5459139785,1
158309.21540329,121.914,121.2066666667,50,1.6124869622,1.5400051336,2.4982202446,2.3556898318,4.3913793906,127.54,1652.8565591398,0
144453.00477019,123.204,122.6583333333,41.6666666667,1.047700042,1.6432851024,1.2632864465,1.7349295332,-0.9215203243,126.38,1654.9215053764,1
153762.95396639,125.078,123.955,41.6666666667,1.5240046252,1.2091855139,1.5055805942,0.062681196,1.0468827163,127.71,1657.2246236559,0
145051.09013075,125.64,124.98,41.6666666667,0.4566148689,0.4907685178,-0.8094351065,-0.7533924976,-2.5536677114,124.49,1659.5137634409,1
150411.97256055,126.298,125.5933333333,50,0.5318989473,-0.4329711635,-0.2701214433,-0.928623523,0.6964206654,125.36,1661.7324731183,1
158014.32041254,126.042,126.2933333333,58.3333333333,-0.2017194627,-0.0217692474,-0.3779865686,0.7098540028,0.7232873403,126.28,1664.4834408602,1
166866.93398436,126.15,126.1883333333,66.6666666667,0.0852745074,-0.1551275448,0.644385844,0.6183684334,0.5134495264,126.92,1667.5849462366,1
180362.64503796,126.008,126.2916666667,75,-0.111499641,0.4990423766,0.4332496137,0.2882307504,0.0630119744,127,1671.8283870968,0
170126.39689946,125.946,125.7033333333,66.6666666667,-0.0498653091,-0.2364368028,-0.5563448505,-1.0912420389,-2.2454960522,124.17,1675.8847311828,0
159621.31680636,125.456,125.44,66.6666666667,-0.3947443564,-0.6742522806,-1.0701528829,-1.6367353116,-1.027974571,122.92,1679.7592473118,1
163775.5088299,124.88,125.1116666667,66.6666666667,-0.4614480108,-0.7051723951,-0.9612338516,-0.3191027513,0.3897690684,123.38,1683.445827957,0
160893.41752757,124.15,124.6116666667,58.3333333333,-0.583597903,-0.7452503724,-0.2451684791,0.1462345668,-0.0972999347,123.27,1686.9837204301,0
153156.48356977,123.276,123.8966666667,50,-0.7003078937,-0.3140108541,-0.0760229484,-0.3089189568,-0.5205379789,122.81,1688.3784086022,1
163339.65070997,123.212,123.3733333333,58.3333333333,-0.0516046085,0.1924878821,0.1267274866,0.2387411973,0.9980203736,123.75,1689.6897634409,0
155286.46630905,123.28,123.2183333333,50,0.0552486539,-0.0283814497,-0.0054086214,0.2521560574,-0.4937082587,123.32,1690.4989677419,1
163071.30951832,123.57,123.54,58.3333333333,0.2336569298,0.316396146,0.5953741876,0.3940510946,1.281810448,124.85,1691.6759139785,1
175188.63293432,124.306,124.1333333333,58.3333333333,0.5883247317,0.8655404094,0.8213804214,1.4789247614,1.6760390748,126.95,1692.3275913979,0
168868.37457,125.088,124.6783333333,50,0.6277354389,0.5351642052,0.8781216932,0.6762773158,-0.3234844432,126.5,1692.8626021505,1
175613.76907444,125.718,125.4083333333,50,0.5022785601,0.7512752648,0.5744302038,0.0236257683,0.3707359797,127,1693.2906236559,0
164083.24435564,126.318,125.8066666667,41.6666666667,0.4809851047,0.2807787688,-0.1843079998,-0.1147197782,-0.6001755361,126.25,1692.8095053764,1
171597.07931644,126.816,126.4866666667,50,0.3949844837,0.0747208359,0.2074559289,0.1258159035,0.851807343,127.31,1693.2197849462,0
