btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,btc_low_7,btc_open_30,btc_low_30,btc_close_30,trfee_value_30,sp500_close_30,google_trend_3,wikipedia_trend_2,wikipedia_trend_3,class_y0
60177.8468108599,98.906,98.78,58.3333333333,0.2329730066,0.0277092073,0.4120699621,0.5315160151,-0.412040179,99.32,93.31,95.6758494624,94.0238494624,96.0514408602,37.0078626364,1681.0908602151,7,7780,11230,1
80401.3553351599,99.638,99.5633333333,66.6666666667,0.7246882668,1.1872035978,1.5252121783,1.5502821629,3.5126045048,102.85,94.24,96.0466021505,94.4860430108,96.621655914,37.2381056968,1678.509139785,7,6747,7780,1
91913.9100686599,100.996,100.51,75,1.3387603132,1.6301559274,1.6818505002,2.7287958398,1.9449871747,104.87,97.03,96.6175483871,95.0055913978,97.2838924731,37.9474729639,1676.3779569893,7,10826,6747,1
115839.62814766,103.432,102.5683333333,83.3333333333,2.3373317062,2.5528965805,3.5412088336,3.555510998,5.1660348213,111.52,96.68,97.2804731183,95.7601290323,98.2641075269,37.8641773658,1673.4274193548,7,11569,10826,0
103607.69643096,105.314,104.38,75,1.8036444251,2.3575655761,1.9725525999,1.9863353124,-1.1933641964,109.12,96.5,98.3312688172,96.6889462366,99.1064086022,37.94175975,1671.7698924731,7,11741,11569,0
94138.0201342999,106.984,105.7033333333,66.6666666667,1.6147930552,1.1403401928,0.8721245321,-1.2748306124,-1.3562970285,107.91,97.48,99.1714623656,97.3180215054,99.8062580645,37.8783544533,1670.6198924731,7,10214,11741,1
98470.7071142099,108.244,107.345,66.6666666667,1.1890293379,1.0000398787,-0.3886251021,0.013744445,1.3837859186,109.15,98.41,99.8857634409,98.0647956989,100.5615268817,37.3612731757,1669.5177419355,7,8863,10214,1
107813.86984829,109.894,109.0566666667,66.6666666667,1.514554286,0.6016841522,1.2000336018,2.4781989169,3.5726119152,113.12,99,100.6381505376,98.9314408602,101.5320860215,37.0315033692,1668.4639784946,7,6216,8863,0
96971.0664240899,110.188,110.2283333333,58.3333333333,0.2644755852,0.6289355306,1.2906797169,1.2441266161,-1.084358683,111.85,100.38,101.6056989247,99.8260645161,102.3741075269,36.472496765,1666.9962365591,7,5688,6216,1
115895.80603629,111.914,111.4483333333,66.6666666667,1.522310776,2.2419627272,2.5280216634,2.0057265374,5.0958117579,117.74,104.56,102.4415268817,100.7684946237,103.5424946237,37.5007641119,1663.9204301075,7,7351,5688,1
126091.53723069,113.966,112.9133333333,66.6666666667,1.8207279556,1.9299634648,1.3824139813,2.6158003135,0.1357888692,117.91,107.98,103.6064086022,102.0002580645,104.6673548387,50.8197539312,1661.2279569893,7,9386,7351,1
135880.87608426,115.836,114.7216666667,66.6666666667,1.6437975516,1.1615939607,1.9102448419,0.3174613839,0.4991338987,118.91,104.2,104.7284516129,103.1724516129,105.7775483871,50.8501660546,1658.9338709678,7,9560,9386,1
153255.23407536,118.184,117.34,75,1.9748781497,2.7396873579,1.9543125579,2.8635744023,5.2280149058,124.86,106.64,105.8624086022,104.359483871,107.2509032258,50.7791839762,1656.388172043,7,8280,9560,1
173236.57771766,121.404,119.82,75,2.688492972,2.0866632756,2.7369547444,3.8558651672,2.4837154286,127.9,109.15,107.3330752688,105.9330967742,108.8696774194,50.0062481022,1653.9483870968,8,7050,8280,1
181258.14095349,123.986,122.9466666667,75,2.0806959303,2.5669226956,3.2561856279,2.270270989,2.0568265493,130.65,110.27,108.9416129032,107.5713333333,110.5925806452,48.7756630612,1651.6569892473,8,5259,7050,0
172318.74115025,126.434,125.0133333333,66.6666666667,1.975320197,2.3443667716,1.3831507269,0.832868376,-0.3910897972,129.4,111.76,110.6603225806,109.2485806452,112.2077204301,48.9688601623,1650.4446236559,8,5153,5259,0
160324.16453055,128.57,126.8916666667,66.6666666667,1.7258764006,0.8503417743,0.3058838895,-0.5695874404,-0.7480850836,129.2,117.04,112.223483871,110.753483871,113.6858709677,48.094658021,1648.9353763441,8,5971,5153,0
141503.11440215,128.16,127.61,66.6666666667,-0.3310932802,-1.0347954574,-2.0653361263,-2.9024592909,-5.0568334982,121.65,117,113.7009247312,111.43,114.682516129,46.8168412446,1648.5013978495,8,6740,5971,0
122266.28210625,127.06,127.2166666667,58.3333333333,-0.8783846787,-1.6121874857,-2.0192200485,-2.654787531,-0.2527415638,122,118.04,114.620688172,112.120688172,115.6053978495,46.1515403327,1648.1405376344,8,6438,6740,0
102875.07385155,124.462,125.495,50,-2.0942886587,-2.5200883741,-3.1107561376,-2.1377174573,-4.0226933509,116.56,124.8,115.5119139785,112.7150322581,116.163311828,45.4357126684,1647.9001075269,8,6929,6438,1
112552.07134915,122.418,123.7066666667,58.3333333333,-1.6355878439,-1.857463534,-0.7910068793,-1.0601395371,1.9024142768,119.91,126.79,115.9999139785,113.2856989247,116.8227741935,44.3521227905,1647.7344086022,8,6808,6929,0
107093.38545819,120.25,121.7383333333,50,-1.7528988671,-0.9269152093,-1.1516397579,0.2838870386,-1.3346401995,118.37,128.52,116.662172043,113.836172043,117.3244731183,43.0006773903,1647.6552688172,8,4828,6808,1
128439.11179479,120.024,120.4883333333,50,-0.1848759534,-0.1679095508,1.1170183825,0.7243204354,2.7832810702,121.68,127,117.1699139785,114.2662150538,117.9855913979,42.2107928186,1648.6465591398,8,7756,4828,1
139759.00154289,119.938,120.365,50,-0.0703275861,0.9177638551,0.5895470479,1.5516406717,0.3200002731,122.08,115.21,117.8360430108,115.0212903226,118.6112903226,41.2662660886,1650.5459139785,8,11338,7756,1
158309.21540329,121.914,121.2066666667,50,1.6124869622,1.5400051336,2.4982202446,2.3556898318,4.3913793906,127.54,116.07,118.4673978495,115.5361935484,119.5303655914,40.0465372046,1652.8565591398,8,8085,11338,0
144453.00477019,123.204,122.6583333333,41.6666666667,1.047700042,1.6432851024,1.2632864465,1.7349295332,-0.9215203243,126.38,115.21,119.3906236559,116.3270322581,120.3047096774,38.9152993688,1654.9215053764,8,6795,8085,1
153762.95396639,125.078,123.955,41.6666666667,1.5240046252,1.2091855139,1.5055805942,0.062681196,1.0468827163,127.71,115.5,120.169827957,117.1816129032,121.1041505376,37.8879349573,1657.2246236559,8,6285,6795,0
145051.09013075,125.64,124.98,41.6666666667,0.4566148689,0.4907685178,-0.8094351065,-0.7533924976,-2.5536677114,124.49,116,120.9732688172,117.8469032258,121.634516129,36.6049025078,1659.5137634409,7,5727,6285,1
150411.97256055,126.298,125.5933333333,50,0.5318989473,-0.4329711635,-0.2701214433,-0.928623523,0.6964206654,125.36,115,121.5076344086,118.4522580645,122.1642150538,35.5581802032,1661.7324731183,7,4371,5727,1
158014.32041254,126.042,126.2933333333,58.3333333333,-0.2017194627,-0.0217692474,-0.3779865686,0.7098540028,0.7232873403,126.28,120.8,122.0413548387,119.0670752688,122.6943225806,34.9227226659,1664.4834408602,7,4771,4371,1
166866.93398436,126.15,126.1883333333,66.6666666667,0.0852745074,-0.1551275448,0.644385844,0.6183684334,0.5134495264,126.92,118,122.5761505376,119.7176989247,123.2092473118,38.2289422722,1667.5849462366,7,7419,4771,1
180362.64503796,126.008,126.2916666667,75,-0.111499641,0.4990423766,0.4332496137,0.2882307504,0.0630119744,127,123.1,123.0950967742,120.2281935484,123.6699354839,55.1201220529,1671.8283870968,7,7549,7419,0
170126.39689946,125.946,125.7033333333,66.6666666667,-0.0498653091,-0.2364368028,-0.5563448505,-1.0912420389,-2.2454960522,124.17,125.05,123.5598494624,120.6083655914,123.8967526882,59.0789517847,1675.8847311828,7,6651,7549,0
159621.31680636,125.456,125.44,66.6666666667,-0.3947443564,-0.6742522806,-1.0701528829,-1.6367353116,-1.027974571,122.92,123.05,123.7900860215,120.8198494624,124.0001075269,58.0295142464,1679.7592473118,7,5973,6651,1
163775.5088299,124.88,125.1116666667,66.6666666667,-0.4614480108,-0.7051723951,-0.9612338516,-0.3191027513,0.3897690684,123.38,123,123.898172043,121.0304731183,124.1075913979,56.3432190016,1683.445827957,6,8648,5973,0
160893.41752757,124.15,124.6116666667,58.3333333333,-0.583597903,-0.7452503724,-0.2451684791,0.1462345668,-0.0972999347,123.27,124.03,124.0114193548,121.2535268817,124.1766451613,54.7643988374,1686.9837204301,6,5655,8648,0
153156.48356977,123.276,123.8966666667,50,-0.7003078937,-0.3140108541,-0.0760229484,-0.3089189568,-0.5205379789,122.81,125.47,124.0869032258,121.3852903226,124.1708172043,53.7753281896,1688.3784086022,6,5497,5655,1
163339.65070997,123.212,123.3733333333,58.3333333333,-0.0516046085,0.1924878821,0.1267274866,0.2387411973,0.9980203736,123.75,124.2,124.0996774194,121.4998494624,124.2153548387,52.4696683376,1689.6897634409,6,7992,5497,0
155286.46630905,123.28,123.2183333333,50,0.0552486539,-0.0283814497,-0.0054086214,0.2521560574,-0.4937082587,123.32,123.02,124.1437204301,121.6814623656,124.1974408602,51.102524645,1690.4989677419,6,6695,7992,1
163071.30951832,123.57,123.54,58.3333333333,0.2336569298,0.316396146,0.5953741876,0.3940510946,1.281810448,124.85,121.16,124.1371612903,121.8203655914,124.2576989247,49.5472605973,1691.6759139785,6,6212,6695,1
