btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,btc_low_7,btc_open_30,btc_high_30,btc_low_30,btc_close_30,sp500_close_30,google_trend_2,google_trend_3,wikipedia_trend_2,class_y0
3314.8537380599,90.322,90.5466666667,66.6666666667,-1.4451042311,-1.3550746926,-3.1670551081,-3.5472655351,-6.4589821416,85,86.6,86.1666021505,89.5236129032,81.5024086022,85.9241075269,1643.2980860215,10,7,7825,1
12004.8144900599,89.618,89.6866666667,66.6666666667,-0.7976586786,-2.0172899867,-1.8875085643,-2.5134883821,1.4320053775,86.51,87.15,85.8853978495,89.2409677419,81.4042580645,85.7779354839,1647.3314408602,10,7,7947,0
7553.3396221599,87.87,88.855,58.3333333333,-1.9565975926,-1.8440884272,-2.2469349267,-0.1409113192,-1.7138280159,85.02,88.87,85.7435268817,88.9402580645,81.4149032258,85.5772043011,1651.2357634409,7,10,8401,1
10461.2018335099,86.746,87.5466666667,58.3333333333,-1.2670451959,-1.4249192627,0.2531016969,-0.3363501434,1.0411277291,85.73,88.11,85.5458064516,88.6793978495,81.4633978495,85.4716774194,1654.9271827957,7,10,5150,0
2167.1836652999,85.672,86.555,50,-1.2168899737,0.0936330683,-0.3524910348,0.3281774557,-0.3847728177,85.59,89.09,85.4325591398,88.4627741935,81.4436129032,85.3789892473,1658.4743655914,7,10,5614,1
15205.6849732999,86.012,85.89,50,0.394764935,0.1354548244,0.7518824379,0.6072597922,1.5992924022,86.88,89,85.3437419355,88.396516129,81.3927526882,85.4063010753,1661.6982795699,7,10,10445,1
24482.1060741999,86.394,86.4133333333,50,0.4367634841,0.9744113591,0.9521725691,1.6206452625,1.6419981229,88.42,77,85.3691397849,88.331483871,81.6180215054,85.5553978495,1664.4419354839,7,10,0,1
34898.9861709999,87.418,87.0216666667,50,1.169282714,1.2013214602,1.7300195528,1.7953831281,1.9487681333,90.1,83.21,85.5229677419,88.4368172043,81.9503225806,85.840516129,1666.9490322581,7,10,4642,0
28398.4017670399,88.222,87.84,50,0.9144189814,1.2392169312,1.1191917742,0.8577885999,-0.2331909335,89.97,84.27,85.8075698925,88.636,82.4004516129,86.1286666667,1669.3969892473,7,10,8795,0
24909.2477973999,88.734,88.2116666667,41.6666666667,0.5893612451,0.3368784559,-0.0981614331,-1.1216262163,-2.0100614992,88.16,84.25,86.0998494624,88.7489677419,82.817827957,86.3203010753,1671.6492473118,6,7,8442,1
