btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,btc_low_5,ntran_value_30,trfee_value_2,hrate_2,hrate_7,class_y0
251800.7403932,135.308,133.9866666667,83.3333333333,1.5377088124,1.8046545963,1.1688452484,0.7839562753,-3.7104713058,137.54,126.01,52010.5784946237,46.86833704,2333.48704052,1834.79827783,1
268567.7928729,138.5,136.7466666667,91.6666666667,2.3504508874,2.0100429492,2.0338495341,0.4115823729,4.5336360516,143.94,127.57,51472.3268817204,36.84323895,2914.66937941,1665.43228295,1
291575.0238488,142.514,140.8983333333,91.6666666667,2.8144776092,3.0334412129,2.2851269984,5.2829261504,6.0322162493,152.89,132,51963.511827957,39.50246713,2382.30967541,1853.61672171,1
329542.0064892,148.63,146.4283333333,91.6666666667,4.072134566,3.7705722434,6.2642534264,7.1295621138,8.2269079784,166,134.09,52088.5182795699,45.53965756,2302.45571981,2154.71182371,1
335209.35237081,153.396,151.6233333333,91.6666666667,3.087416106,4.7868879589,4.8713052614,4.2908497675,0.3547915565,166.6,137.38,51914.847311828,35.8234771,2914.66937941,2427.5792599,1
368317.07348101,161.91,157.8516666667,91.6666666667,5.3923725374,5.6070566589,5.4653367954,4.0845512039,7.8143108514,180.15,135,52294.8666666667,27.8955071,2874.74240161,2333.48704052,1
410182.14063571,171.072,166.55,91.6666666667,5.5262174039,5.3997176926,4.4573209306,6.5085856177,5.202860384,189.74,143.23,53100.8301075269,36.82997401,2675.10751261,2914.66937941,1
434508.15539061,181.286,176.5533333333,91.6666666667,5.7641037523,5.1484026958,6.7462730755,6.2122541876,7.2216479911,203.94,152.44,53213.8043010753,41.67292026,3313.93915741,2382.30967541,0
378914.22838431,186.86,183.3833333333,83.3333333333,3.1040008599,3.7913031857,2.4503006305,1.0740207538,-5.0736064836,194,162.54,53899.9053763441,36.67520171,2808.19743861,2302.45571981,0
346134.68547731,190.862,186.8166666667,75,2.2686316898,0.8822118994,-0.5580042621,-4.4478303887,-3.8220542938,187.5,166.05,54366.5182795699,49.26787775,2781.57945341,2914.66937941,0
336490.36475832,190.748,188.9783333333,66.6666666667,-0.0633879704,-1.3799500591,-4.2471494091,-3.8339208719,-3.84578745,180.39,179,54152.0494623656,46.75449972,3194.15822401,2874.74240161,1
346585.93059242,191.598,191.29,66.6666666667,0.4430148558,-1.2516434281,0.0223442571,1.9445435325,7.734874515,194.99,185,53627.8150537634,53.66366945,3867.20191246,2675.10751261,1
358834.59515212,190.13,192.435,75,-0.733019285,0.3521275147,1.7435214509,4.5381759013,1.3414772875,196.62,156.2,53390.5720430108,44.03445576,3439.67205279,3313.93915741,1
375579.10164282,192.294,192.5566666667,75,1.0861761629,2.3132337771,4.3662408527,2.6819240216,4.0223707557,204,167.67,53312.6516129032,43.74981757,3478.53840367,2808.19743861,0
350084.95357282,194.482,193.1683333333,66.6666666667,1.1394761413,2.3857920392,0.6027645472,0.2334081771,-3.5555544015,197.58,177,52999.7290322581,26.14906747,3051.008544,2781.57945341,1
363826.44431942,199.278,195.9916666667,66.6666666667,2.507062637,1.2001096675,1.1529871275,-0.2817046866,2.9921450284,203.54,179.5,53226.8322580645,38.08800627,3808.90238614,3194.15822401,0
358863.63531771,200.908,199.7566666667,58.3333333333,0.8230367405,0.6934266037,-0.416221447,1.1534450303,-0.6852549677,202.14,190.8,52924.352688172,30.03529546,4061.53366685,3867.20191246,1
365463.73357711,202.556,201.5666666667,58.3333333333,0.8210777414,0.0207544878,1.2128574509,0.3232136622,1.3316822922,204.86,195.32,52188.3806451613,35.40296681,3692.3033335,3439.67205279,1
376691.69653681,203.618,203.7966666667,58.3333333333,0.5122178244,1.5291608809,1.0414994985,1.9048767315,2.4780711709,210,195,51150.4924731183,23.87084674,4216.99907037,3478.53840367,1
404953.48468521,209.476,207.4866666667,58.3333333333,2.7651948552,2.7084573119,3.8396947384,5.0937009615,7.7093307521,227.29,195.1,50558.5204301075,24.97396102,3808.90238614,3051.008544,1
447537.18551391,217.348,215.0466666667,66.6666666667,3.5357458049,4.590995998,5.6774339,7.2771152645,6.844899777,242.9,200.23,50562.2494623656,67.37958812,3886.63508789,3808.90238614,1
487563.89238161,229.566,224.9966666667,75,5.28112335,6.2684836145,7.531954429,7.4432662675,8.041632758,263.24,201.2,50803.9290322581,47.14006645,3303.63982471,4061.53366685,1
537267.74418281,246.794,239.805,83.3333333333,7.0199289633,8.1553934114,8.3040809644,9.0336715582,10.0257103584,291,203.51,51252.2322580645,118.37378115,4114.54971625,3692.3033335,1
577453.90282611,271.594,261.3283333333,83.3333333333,9.2806692452,9.6735038685,10.616371899,11.9037414694,13.7817725805,333.9,207.22,51752.4365591398,117.81098834,3911.36207594,4216.99907037,1
621815.11460561,294.476,283.2016666667,83.3333333333,8.167704076,8.4984051508,8.6506626151,7.9631387435,2.1445049064,341.24,226,52085.5870967742,108.19320547,3377.99452013,3808.90238614,0
554577.70712421,310.496,299.23,75,5.7000497443,5.1146539909,3.4776352017,-1.6744334877,-5.4933718818,323,241.11,52377.6946236559,86.29385375,3606.58061548,3886.63508789,1
581521.08536811,326.63,316.065,83.3333333333,5.346276633,4.1764182016,0.9746334086,0.3896976598,6.2727672013,343.63,263.24,52495.5010752688,52.48680278,4266.94044648,3303.63982471,1
601269.36686991,339.422,331.3516666667,83.3333333333,3.973636798,1.5216028523,1.3139688343,4.7176391924,3.1625111835,354.94,288.81,52857.7720430108,62.00580352,4952.69873252,4114.54971625,1
639959.16880181,351.322,348.435,91.6666666667,3.2788014976,3.5623756454,6.5809581545,6.7350536311,10.3075960787,393.5,298.95,53503.8451612903,20.0940219,4800.30800229,3911.36207594,1
671597.64624461,366.464,362.26,91.6666666667,4.0076053699,6.3828496828,6.4195438432,8.0480601731,5.7885242676,416.88,265.01,54587.1913978495,24.28778395,4774.90954725,3377.99452013,0
639274.44000651,384.264,374.0533333333,83.3333333333,4.8674205225,4.5160838528,4.9672747426,2.2971140746,-1.1942961183,412.07,310.1,55121.9247311828,23.93546077,4292.33890152,3606.58061548,1
657257.90004561,402.388,392.6416666667,83.3333333333,4.6776998393,5.0564970033,3.3061306448,2.0649338334,5.3241637852,434.53,340.01,54957.0817204301,18.56994291,4139.94817129,4266.94044648,1
683249.49521991,426.872,414.8866666667,83.3333333333,5.9261542473,4.8307937895,4.5115502968,7.3644735044,9.4047832236,478.1,354.94,54549.1806451613,15.43971301,4978.09718756,4952.69873252,1
740338.57417371,481.974,467.2283333333,83.3333333333,10.6143587968,11.8208174292,16.1591886117,21.5767010249,33.7486188263,669,381,55790.9892473118,15.1031091,5847.4268319,4800.30800229,0
668777.62820661,505.786,490.98,75,5.0237301416,6.5782367066,6.9962610137,5.7919999088,-22.1646190086,536.01,390,58291.2086021505,25.27467522,4968.7979297,4774.90954725,1
726489.13542781,543.186,521.3216666667,75,7.4847649753,8.0249152729,7.5649592893,-5.5268704792,11.1108780502,600,406.92,59707.0021505376,32.54373365,4696.11999454,4292.33890152,1
757209.86672191,600.28,572.655,75,10.0997244962,10.2734598143,2.4484068103,14.7549197198,18.3989613895,720,434.53,60632.5591397849,25.18151883,4938.50038135,4139.94817129,1
782334.99518581,663.804,632.7333333333,83.3333333333,10.2005859043,4.3135776739,13.1396432347,14.1540258269,9.9090902644,794,471.23,61907.6688172043,26.57492613,4484.03715607,4978.09718756,1
802673.85979891,695.832,691.3616666667,83.3333333333,4.2920414392,10.9062065512,10.8379827182,7.0574933825,4.2058965006,829.15,378,63039.759139785,23.61058302,5029.39302641,5847.4268319,0
782543.17231021,748.64,713.2016666667,75,8.010428162,7.23531569,3.5141004568,0.316605553,-3.5726853945,800.01,440,63169.0322580645,21.86122464,4908.202833,4968.7979297,1
805585.22463551,792.416,760.18,75,6.2290805692,3.1866103641,0.9457837307,-0.6842726543,2.204140086,811.95,580.37,64066.9182795699,17.57820997,5211.17831652,4696.11999454,1
835378.24972371,831.676,813.0633333333,75,4.8218521992,3.5500426829,3.3314247437,6.7834798128,11.3628195396,915.01,683.2,65439.9784946237,19.27979672,5453.55870333,4938.50038135,1
865703.77946771,865.472,853.7266666667,83.3333333333,3.8545686571,3.7667366962,6.2132107264,8.2177460466,5.0726725536,963.98,785,67453.3677419355,24.05961565,4968.7979297,4484.03715607,1
902602.37311321,902.238,890.0566666667,83.3333333333,4.0050136211,5.8994383751,7.1312044714,5.0153969373,4.958121321,1012,747,70074.7053763441,28.13438242,5029.39302641,5029.39302641,1
924475.68646011,968.626,940.53,83.3333333333,6.9411639817,8.1254199557,7.046286761,8.0330938647,11.1080664085,1131.99,770.1,71838.4021505376,32.98440093,5514.15380003,4908.202833,0
911568.12736871,1028.954,993.775,75,6.2787934885,5.0077869757,4.9861584497,5.000177014,-1.1077123804,1119.52,801,72895.1569892473,25.92092417,6505.60945041,5211.17831652,0
850023.74654771,1036.694,1016.6283333333,75,0.8273503702,-0.2339801757,-1.9646806745,-8.5010542161,-15.8943960517,955,879.99,73016.0365591398,22.01670436,5626.4730382,5453.55870333,1
881540.47185601,1053.392,1038.49,75,1.6612492852,0.8370312763,-2.5866471011,-3.3261144615,9.2421671287,1037.11,931,73557.5634408602,17.71816338,6857.2640153,4968.7979297,1
894108.06353461,1061.796,1053.66,75,0.8128857039,-1.7609094723,-1.9786418362,4.9792352715,0.7163034142,1055,988.22,74278.0043010753,19.64441022,5731.96940766,5029.39302641,1
908541.57331671,1061.8,1073.4983333333,75,0.0003533569,0.2773697912,5.6679584055,3.8808540439,7.0454046736,1135,1080,75006.3870967742,21.85614673,6681.43673286,5514.15380003,0
853278.91632711,1042.67,1055.4783333333,66.6666666667,-1.7862091316,1.7408375984,-0.7596055784,-1.4975600747,-10.0405248231,1020.51,795.6,75992.976344086,21.13728202,6224.2857985,6505.60945041,0
800590.25458291,1014.652,1004.71,66.6666666667,-3.1726732557,-6.2763833518,-8.6072789405,-16.4336207476,-22.826716672,809.72,925.16,76021.7139784946,21.98836499,6013.29305957,5626.4730382,0
720737.83079991,943.818,961.0933333333,58.3333333333,-8.2534041164,-10.495830999,-16.3429095566,-19.4941019233,-16.1614871747,693.3,1000,76263.7806451613,18.58752694,7419.91131912,6857.2640153,1
748202.91350951,890.218,917.6816666667,58.3333333333,-5.8613559499,-9.0880461057,-8.7705531999,-1.7424714639,12.6765442469,787,1052.1,74796.1182795699,20.50910369,6751.76764583,5731.96940766,1
776712.95223991,843.796,891.8316666667,58.3333333333,-4.5893289321,-3.2265299594,3.3068656115,13.0410420046,13.4055397623,899.91,848.42,73875.2021505376,32.37259238,6294.61671148,6681.43673286,1
799407.63217321,834.868,866.3683333333,58.3333333333,-0.8915659174,4.5922217712,11.5101247532,10.9269150063,8.4482902504,979.07,796.73,73638.2967741935,12.81918828,6857.2640153,6224.2857985,0
767699.25014191,847.694,842.23,50,1.5150545042,5.934189924,3.686738483,-1.1726621566,-10.7936145637,879.04,542.38,73411.0795698925,19.97697104,9076.0276243,6013.29305957,0
753725.72600761,883.278,851.615,50,4.568634445,2.5416569945,-1.0796372615,-5.8436010174,-0.8935874711,871.22,651,72592.5870967742,17.69299634,7134.38987383,7419.91131912,1
768492.67708631,903.074,883.7283333333,58.3333333333,2.3693225714,-0.3897317263,-3.3357390519,0.393198704,1.679984879,888.47,766.66,71781.2623655914,14.89978988,7495.62480415,6751.76764583,0
761066.12505169,893.25,894.3583333333,50,-1.1226014055,-3.5153243195,-1.0892275715,-1.1870476217,-4.0540801224,850.78,895.01,70721.0215053763,14.94454362,7495.62480415,6294.61671148,1
772704.12545869,869.804,888.0416666667,50,-2.5502255576,-0.4893783061,-0.3546419178,-1.3719553162,1.3101694901,861.98,804,69435.247311828,13.21918752,9030.87325801,6857.2640153,0
713897.42135469,832.196,840.0033333333,41.6666666667,-4.8138115828,-5.7938676107,-8.285151774,-10.4006875997,-22.1115446896,690.5,832.01,68894.3440860215,11.2711577,8037.47719963,9076.0276243,0
670863.39299529,792.676,805.7666666667,41.6666666667,-5.14456749,-6.8507055822,-7.7829140688,-12.3294558482,-2.5473670069,675,850,68876.9784946237,14.01108799,8714.79269398,7134.38987383,0
533793.21465729,719.48,747.23,41.6666666667,-10.6573113082,-12.3081191047,-16.8475486363,-14.2155506096,-25.8837342123,520,841.01,69458.5225806452,16.22399978,8895.41015914,7495.62480415,1
590527.32392989,686.324,713.7333333333,50,-4.33469475,-5.74591081,-0.2906995168,0.8376342282,27.5590026687,685.1,803.51,69193.3612903226,18.50617393,9482.41692091,7495.62480415,0
549567.58331009,635.924,673.6033333333,41.6666666667,-6.9159262699,-3.117021665,-3.306906551,7.9815072796,-11.5959881095,610,651.34,69023.5505376344,15.81127156,9753.34311865,9030.87325801,0
530349.41234679,616.73,629.1083333333,33.3333333333,-2.9905599865,-3.1013582314,4.4927670956,-7.040350691,-2.4847132725,595.07,612.51,68205.2172043011,16.24572703,9121.18199059,8037.47719963,1
548022.64633319,604.538,616.0516666667,33.3333333333,-1.8971204181,4.0995330305,-3.7202901822,0.2175587814,2.9198308353,612.66,382.21,66922.311827957,14.69955031,9568.75370305,8714.79269398,1
561122.81049859,631.49,612.9083333333,41.6666666667,4.608798894,-1.1287520497,2.360326637,4.7828465917,6.6458623481,654.76,492.91,65725.0043010753,11.14297494,9744.86573439,8895.41015914,0
548327.00646819,625.088,635.0733333333,41.6666666667,-0.9571404608,1.7025714514,3.098333026,3.1875841214,-0.2706941053,653.57,570,64889.6365591398,11.43633559,9333.93766126,9482.41692091,1
554980.01611894,638.89,634.075,41.6666666667,2.1435379565,3.3006007637,3.4275240732,1.8183549357,3.9074039767,679.01,550,64074.2602150538,12.64534115,9744.86573439,9753.34311865,1
583008.65447674,669.284,656.9083333333,50,4.5490672138,4.9563763084,4.3932142952,6.7251684955,9.5429330142,747.83,575.61,62742.3247311828,12.45799785,10097.0897971,9121.18199059,0
566746.99164944,690.968,677.9166666667,41.6666666667,3.2587991068,2.4120332964,3.3062757637,3.0057116572,-3.5315096999,723.98,607.77,61903.5720430108,11.77737607,10508.0178702,9568.75370305,0
553361.80079624,703.016,694.9733333333,41.6666666667,1.7602757284,2.2680181868,1.7215562568,-2.1891321219,-0.846754544,715,628.11,60665.2688172043,13.52135419,10273.2018284,9744.86573439,1
561483.1066141,718.018,707.18,50,2.1747846595,1.7416298301,-0.8588045645,0.4775480031,1.8018505503,728.01,636.99,59624.4989247312,11.80259669,9627.4577135,9333.93766126,1
568083.3457699,729.518,721.1,58.3333333333,1.625739171,-0.3535592897,0.7057575136,1.4820135425,1.1621765346,736.51,677.57,59154.6494623656,11.46103748,8805.60156722,9744.86573439,0
560164.02543966,726.518,729.9316666667,50,-0.4056934234,0.3757606457,0.7832657089,0.2739732882,-0.6142299582,732,702.26,58471.4602150538,14.91471734,11388.5780269,10097.0897971,1
568071.66330174,733.282,731.2483333333,58.3333333333,0.9167040402,1.3575686863,1.2094747316,1.2331238301,3.0804776184,751.88,682.22,57116.4709677419,11.43245003,9920.97776574,10508.0178702,1
583205.83230914,747.12,741.7666666667,66.6666666667,1.8473759047,1.8587572433,2.0909508128,3.4435411983,3.8066047782,784.19,703.45,56280.3806451613,9.18372917,11740.8020896,10273.2018284,1
598066.09513734,763.4,757.5,66.6666666667,2.1198436849,2.3592604725,3.3504239493,3.4853971148,3.1641894514,808.24,722.81,56501.6838709677,12.12566192,10294.911523,9627.4577135,1
609056.23808494,781.856,774.2983333333,66.6666666667,2.360879845,3.1046572959,3.1127171883,2.7657733934,2.3673573354,828.79,709,56122.1849462366,14.56454873,11493.6340976,8805.60156722,1
633132.18768134,816.456,802.38,75,4.2430885948,4.5337413389,4.7761201924,5.5820855629,8.7968137905,905,729.01,55924.4215053764,12.68023544,10435.9377082,11388.5780269,1
659019.09407264,849.324,833.5866666667,75,3.9392390309,3.972397594,4.2418003082,5.1790217947,1.5612297989,915.8,742.5,56523.6387096774,13.24221702,12692.3566722,9920.97776574,0
624955.57286464,849.486,838.6033333333,66.6666666667,0.0206475971,-0.7652378665,-1.8094362671,-7.1125612959,-15.7863523906,785,767.62,56786.0774193548,29.71047036,12480.8173943,11740.8020896,1
