btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,btc_high_5,btc_low_5,btc_close_5,btc_vol_5,hrate_30,class_y0
2167.1836652999,85.672,86.555,50,-1.2168899737,0.0936330683,-0.3524910348,0.3281774557,-0.3847728177,85.59,91,77,85.28,21446.6660684,213.747619432,1
15205.6849732999,86.012,85.89,50,0.394764935,0.1354548244,0.7518824379,0.6072597922,1.5992924022,86.88,88,83.21,86.51,8689.960752,215.5593914182,1
24482.1060741999,86.394,86.4133333333,50,0.4367634841,0.9744113591,0.9521725691,1.6206452625,1.6419981229,88.42,87.07,84.27,85.04,4451.4748679,218.1527189056,1
34898.9861709999,87.418,87.0216666667,50,1.169282714,1.2013214602,1.7300195528,1.7953831281,1.9487681333,90.1,86.99,84.25,85.93,2907.86221135,218.8229422884,0
28398.4017670399,88.222,87.84,50,0.9144189814,1.2392169312,1.1191917742,0.8577885999,-0.2331909335,89.97,87.08,83,85.6,8294.01816821,223.4513932809,0
24909.2477973999,88.734,88.2116666667,41.6666666667,0.5893612451,0.3368784559,-0.0981614331,-1.1216262163,-2.0100614992,88.16,88.88,82,86.98,13038.501308,226.5726252764,1
32203.6007589099,89.88,89.3966666667,50,1.275962689,1.1844538305,0.9296823962,1.5111190611,5.0322996214,92.72,88.48,85.73,88.42,9276.4211009,230.6886425337,1
42454.4413593099,90.874,90.465,58.3333333333,1.0937216945,0.8799600848,1.2510104242,2.8815463859,0.7307931503,93.45,90.66,87.08,90.16,10416.8800968,233.4578553188,1
54149.8089274099,92.156,91.8233333333,66.6666666667,1.3736452849,1.7753543396,3.0371596191,2.039589618,3.3483860857,96.98,91.77,88.56,89.95,6500.58440396,237.9442425664,1
71175.1933015099,93.822,93.1766666667,66.6666666667,1.7713317451,2.7166800562,1.9448068678,2.5518137266,1.7552413674,97.77,90.16,87.8,88.16,3489.15396964,243.5899352787,0
63343.0327968399,95.514,94.2883333333,66.6666666667,1.8326482744,1.0327354377,1.1333828668,0.0258812574,-1.7034788527,96.63,94.01,87.9,92.71,7294.35296151,247.5162135502,0
47789.9598272399,96.142,95.57,58.3333333333,0.6661625575,0.6500049093,-0.2494554829,-1.2518039081,-0.8001289635,95.82,93.5,90.54,93.39,10250.8406004,251.6836297165,0
43290.0130972699,96.574,96.0433333333,58.3333333333,0.4573079513,-0.2654615823,-0.9390292322,-0.556804422,-0.3134798805,95.54,97,92.7,96.57,11695.3675681,258.0350198686,1
46309.6843962799,96.536,96.5416666667,58.3333333333,-0.0393884553,-0.488045911,-0.0829015971,0.275712086,0.8649040526,96.38,101,95,98.28,17025.3843741,263.0992280072,1
57313.0979291799,96.442,96.7483333333,58.3333333333,-0.095874527,0.3060265544,0.6747450604,1.1688575308,1.472811009,97.88,98.44,95.15,96.62,7832.16050467,270.4019625928,0
48064.4858340099,96.656,96.65,50,0.2202688108,0.4753682543,0.7383176326,0.6750244226,-0.1227621638,97.7,98.71,93.03,95.85,15553.0729696,277.0062178403,0
40936.6302823699,96.904,96.7283333333,50,0.2570782778,0.3997178174,0.244655739,-0.369421896,-0.6160816283,97.09,97,93.98,95.55,4499.94672997,281.7224765074,0
26919.5976246699,96.648,96.465,50,-0.2697333056,-0.5533926451,-1.2287938631,-1.7818097128,-2.9475377974,94.26,96.61,95.5,96.38,3019.67129901,289.2774162781,0
14608.3545980699,95.826,95.9183333333,41.6666666667,-0.8715929924,-1.4576939928,-1.9026712691,-2.5459660896,-2.1443943818,92.72,98.92,96,97.81,11003.4135329,297.2028590141,1
17723.8096575299,94.966,95.44,41.6666666667,-0.8991687771,-1.0932704304,-1.2523333645,-0.404731148,1.3349320857,93.51,98.98,97.07,97.69,9248.61209517,303.6075522531,1
19587.3622209999,94.246,94.82,41.6666666667,-0.7509485729,-0.7846653091,-0.063707813,0.9766354714,0.6183388571,94,98.32,95.5,97.09,7127.85555164,311.5526070798,1
26791.0958726999,93.898,94.43,41.6666666667,-0.3616810267,0.284783166,1.0945090152,0.97429748,1.3302561028,95.37,97.14,91.11,94.27,14017.0326577,320.9025454627,1
39631.3809100999,94.674,94.6066666667,50,0.8066783063,1.5444464783,1.6142846092,2.1122574852,2.8942588676,97.75,95.75,90,92.27,12311.2430266,333.5843441028,1
57629.0995297999,96.058,95.4266666667,58.3333333333,1.4463628233,1.4742205078,1.7595143913,1.9741435356,1.0540282035,99.19,94.25,92.14,93.51,3115.45505946,339.4868568425,0
48095.7753794299,96.972,96.395,58.3333333333,0.9543017948,1.0382925292,0.940971338,-0.0356724267,-1.125373057,98.09,94.58,93.12,94.09,1863.55256347,347.1495505514,1
57401.8884617599,97.804,97.185,58.3333333333,0.8652695946,0.7490229676,0.0339443342,-0.4760976004,0.1731778561,98.26,96.18,93.31,95.35,7203.7336517,355.1785967443,1
62935.4543024399,98.676,98.1216666667,58.3333333333,0.8942328159,0.394226303,0.1742923361,0.8241250326,1.4750722091,99.71,98.19,94.24,98.15,12840.2850374,365.1903664662,0
60177.8468108599,98.906,98.78,58.3333333333,0.2329730066,0.0277092073,0.4120699621,0.5315160151,-0.412040179,99.32,101,97.03,99.19,17997.7186197,376.2970003792,1
80401.3553351599,99.638,99.5633333333,66.6666666667,0.7246882668,1.1872035978,1.5252121783,1.5502821629,3.5126045048,102.85,100.01,96.68,98.08,9533.32415037,383.7101073728,1
91913.9100686599,100.996,100.51,75,1.3387603132,1.6301559274,1.6818505002,2.7287958398,1.9449871747,104.87,99,96.5,98.25,9306.11308233,391.1682366814,1
115839.62814766,103.432,102.5683333333,83.3333333333,2.3373317062,2.5528965805,3.5412088336,3.555510998,5.1660348213,111.52,99.82,97.48,99.71,5533.56584068,402.2624684202,0
103607.69643096,105.314,104.38,75,1.8036444251,2.3575655761,1.9725525999,1.9863353124,-1.1933641964,109.12,99.99,98.41,99.3,2757.60749158,413.1651224917,0
94138.0201342999,106.984,105.7033333333,66.6666666667,1.6147930552,1.1403401928,0.8721245321,-1.2748306124,-1.3562970285,107.91,105.16,99,102.85,20223.5085243,424.5631559684,1
98470.7071142099,108.244,107.345,66.6666666667,1.1890293379,1.0000398787,-0.3886251021,0.013744445,1.3837859186,109.15,104.88,100.38,104.87,11512.5547335,439.4941461821,1
107813.86984829,109.894,109.0566666667,66.6666666667,1.514554286,0.6016841522,1.2000336018,2.4781989169,3.5726119152,113.12,114,104.56,110.43,23925.718079,444.508217141,0
96971.0664240899,110.188,110.2283333333,58.3333333333,0.2644755852,0.6289355306,1.2906797169,1.2441266161,-1.084358683,111.85,113.02,107.98,109.12,12231.9317167,453.3292947387,1
