btc_obv_1,btc_sma5_1,btc_bias6_1,btc_psy12_1,btc_asy5_1,btc_asy4_1,btc_asy3_1,btc_asy2_1,btc_asy1_1,btc_open_0,btc_low_5,ntran_value_30,trfee_value_2,hrate_2,hrate_7,dax_close_30,google_trend_4,wikipedia_trend_1,wikipedia_trend_wma30,class_y0
60177.8468108599,98.906,98.78,58.3333333333,0.2329730066,0.0277092073,0.4120699621,0.5315160151,-0.412040179,99.32,97.03,51098.2946236559,29.42751688,472.32378731,425.666227487,8356.611483871,6,6747,80468.1333333333,1
80401.3553351599,99.638,99.5633333333,66.6666666667,0.7246882668,1.1872035978,1.5252121783,1.5502821629,3.5126045048,102.85,96.68,52558.1483870968,44.92668611,497.58174385,484.95276558,8358.2734193548,6,10826,69282.6559139785,1
91913.9100686599,100.996,100.51,75,1.3387603132,1.6301559274,1.6818505002,2.7287958398,1.9449871747,104.87,96.5,53720.6215053763,37.81465044,449.591626423,388.972530726,8355.5858494624,6,11569,108531.533333333,1
115839.62814766,103.432,102.5683333333,83.3333333333,2.3373317062,2.5528965805,3.5412088336,3.555510998,5.1660348213,111.52,97.48,54617.8365591398,45.78527809,457.169013385,421.807874228,8352.0228817204,6,11741,140098.206451613,0
103607.69643096,105.314,104.38,75,1.8036444251,2.3575655761,1.9725525999,1.9863353124,-1.1933641964,109.12,98.41,55417.247311828,34.14204628,520.313904737,434.436852499,8355.8148602151,6,10214,120588.346236559,0
94138.0201342999,106.984,105.7033333333,66.6666666667,1.6147930552,1.1403401928,0.8721245321,-1.2748306124,-1.3562970285,107.91,99,55986.0817204301,37.04061907,525.365496045,472.32378731,8360.6591827957,6,8863,191129.492473118,1
98470.7071142099,108.244,107.345,66.6666666667,1.1890293379,1.0000398787,-0.3886251021,0.013744445,1.3837859186,109.15,100.38,55938.7311827957,35.02624015,543.046065623,497.58174385,8365.4220430108,7,6216,209127.316129032,1
107813.86984829,109.894,109.0566666667,66.6666666667,1.514554286,0.6016841522,1.2000336018,2.4781989169,3.5726119152,113.12,104.56,55485.9806451613,28.06437009,607.932298581,449.591626423,8369.9311182796,7,5688,98808.023655914,0
96971.0664240899,110.188,110.2283333333,58.3333333333,0.2644755852,0.6289355306,1.2906797169,1.2441266161,-1.084358683,111.85,107.98,55569.4752688172,30.74091178,467.388810199,457.169013385,8375.2417419355,7,7351,75683.3634408602,1
115895.80603629,111.914,111.4483333333,66.6666666667,1.522310776,2.2419627272,2.5280216634,2.0057265374,5.0958117579,117.74,104.2,56098.3440860215,27.45229801,532.757874563,520.313904737,8367.7180860215,7,9386,142836.051612903,1
126091.53723069,113.966,112.9133333333,66.6666666667,1.8207279556,1.9299634648,1.3824139813,2.6158003135,0.1357888692,117.91,106.64,56736.8150537634,51.94695338,562.173953526,525.365496045,8354.7375483871,7,9560,255326.187096774,1
135880.87608426,115.836,114.7216666667,66.6666666667,1.6437975516,1.1615939607,1.9102448419,0.3174613839,0.4991338987,118.91,109.15,57196.823655914,243.52033894,545.831687435,543.046065623,8344.3390107527,7,8280,379029.294623656,1
153255.23407536,118.184,117.34,75,1.9748781497,2.7396873579,1.9543125579,2.8635744023,5.2280149058,124.86,110.27,57558.3440860215,44.63568124,647.153737199,607.932298581,8328.2081505376,7,7050,456124.090322581,1
173236.57771766,121.404,119.82,75,2.688492972,2.0866632756,2.7369547444,3.8558651672,2.4837154286,127.9,111.76,57373.0107526882,43.30645342,634.079924326,467.388810199,8312.4489462366,7,5259,333565.913978495,1
181258.14095349,123.986,122.9466666667,75,2.0806959303,2.5669226956,3.2561856279,2.270270989,2.0568265493,130.65,117.04,56724.5376344086,32.35235089,702.717441908,532.757874563,8297.3512043011,7,5153,195814.043010753,0
172318.74115025,126.434,125.0133333333,66.6666666667,1.975320197,2.3443667716,1.3831507269,0.832868376,-0.3910897972,129.4,117,56407.1096774194,25.28747187,725.596614435,562.173953526,8291.985483871,7,5971,120776.032258065,0
160324.16453055,128.57,126.8916666667,66.6666666667,1.7258764006,0.8503417743,0.3058838895,-0.5695874404,-0.7480850836,129.2,118.04,56089.7225806452,46.83183395,768.086506271,545.831687435,8282.8956129032,7,6740,164750.909677419,0
141503.11440215,128.16,127.61,66.6666666667,-0.3310932802,-1.0347954574,-2.0653361263,-2.9024592909,-5.0568334982,121.65,124.8,55800.4903225806,30.91428847,604.663845362,647.153737199,8275.2735483871,7,6438,276724.935483871,0
122266.28210625,127.06,127.2166666667,58.3333333333,-0.8783846787,-1.6121874857,-2.0192200485,-2.654787531,-0.2527415638,122,126.79,56090.4989247312,24.59734787,751.934693043,634.079924326,8270.6068817204,7,6929,299354.774193548,0
102875.07385155,124.462,125.495,50,-2.0942886587,-2.5200883741,-3.1107561376,-2.1377174573,-4.0226933509,116.56,128.52,56569.1913978495,34.00943099,704.398591759,702.717441908,8268.7046236559,7,6808,265071.116129032,1
112552.07134915,122.418,123.7066666667,58.3333333333,-1.6355878439,-1.857463534,-0.7910068793,-1.0601395371,1.9024142768,119.91,127,56442.2559139785,33.00862693,821.078113093,725.596614435,8266.7696989247,8,4828,201702.559139785,0
107093.38545819,120.25,121.7383333333,50,-1.7528988671,-0.9269152093,-1.1516397579,0.2838870386,-1.3346401995,118.37,115.21,55820.6430107527,27.40258306,704.398591759,768.086506271,8264.9264946237,8,7756,125587.825806452,1
128439.11179479,120.024,120.4883333333,50,-0.1848759534,-0.1679095508,1.1170183825,0.7243204354,2.7832810702,121.68,116.07,55761.7204301075,22.51021597,643.898099215,604.663845362,8263.2599354839,8,11338,83435.8838709677,1
